Время	Гармоника_1	Гармоника_2	Гармоника_3	
0.0463	0.626955	-0.173419	0.226995	
0.0464	0.611037	-0.209143	0.293893	
0.0465	0.594516	-0.244042	0.353553	
0.0466	0.577408	-0.277978	0.404508	
0.0467	0.559731	-0.310816	0.445503	
0.0468	0.541501	-0.342428	0.475528	
0.0469	0.522736	-0.372689	0.493844	
0.047	0.503456	-0.401478	0.5	
0.0471	0.483679	-0.428684	0.493844	
0.0472	0.463425	-0.454197	0.475528	
0.0473	0.442713	-0.477918	0.445503	
0.0474	0.421565	-0.499753	0.404508	
0.0475	0.4	-0.519615	0.353553	
0.0476	0.378041	-0.537427	0.293893	
0.0477	0.355708	-0.553118	0.226995	
0.0478	0.333025	-0.566626	0.154508	
0.0479	0.310012	-0.577898	0.0782172	
0.048	0.286694	-0.586889	6.85988e-15	
0.0481	0.263093	-0.593563	-0.0782172	
0.0482	0.239233	-0.597896	-0.154508	
0.0483	0.215136	-0.599868	-0.226995	
0.0484	0.190827	-0.599474	-0.293893	
0.0485	0.166329	-0.596713	-0.353553	
0.0486	0.141668	-0.591598	-0.404508	
0.0487	0.116866	-0.584147	-0.445503	
0.0488	0.0919497	-0.574392	-0.475528	
0.0489	0.0669423	-0.562369	-0.493844	
0.049	0.0418688	-0.548127	-0.5	
0.0491	0.0167539	-0.531722	-0.493844	
0.0492	-0.00837743	-0.513219	-0.475528	
0.0493	-0.0335005	-0.49269	-0.445503	
0.0494	-0.0585906	-0.470216	-0.404508	
0.0495	-0.0836228	-0.445887	-0.353553	
0.0496	-0.108572	-0.419798	-0.293893	
0.0497	-0.133415	-0.392052	-0.226995	
0.0498	-0.158126	-0.362759	-0.154508	
0.0499	-0.182681	-0.332035	-0.0782172	
0.05	-0.207055	-0.3	-5.14475e-15	
0.0501	-0.231225	-0.266781	0.0782172	
0.0502	-0.255167	-0.232509	0.154508	
0.0503	-0.278858	-0.19732	0.226995	
0.0504	-0.302273	-0.161352	0.293893	
0.0505	-0.325389	-0.124747	0.353553	
0.0506	-0.348185	-0.0876498	0.404508	
0.0507	-0.370637	-0.0502067	0.445503	
0.0508	-0.392723	-0.0125655	0.475528	
0.0509	-0.414422	0.0251254	0.493844	
0.051	-0.435711	0.0627171	0.5	
0.0511	-0.456571	0.100061	0.493844	
0.0512	-0.47698	0.137011	0.475528	
0.0513	-0.496918	0.173419	0.445503	
0.0514	-0.516366	0.209143	0.404508	
0.0515	-0.535304	0.244042	0.353553	
0.0516	-0.553715	0.277978	0.293893	
0.0517	-0.571578	0.310816	0.226995	
0.0518	-0.588878	0.342428	0.154508	
0.0519	-0.605596	0.372689	0.0782172	
0.052	-0.621717	0.401478	3.42963e-15	
0.0521	-0.637224	0.428684	-0.0782172	
0.0522	-0.652102	0.454197	-0.154508	
0.0523	-0.666337	0.477918	-0.226995	
0.0524	-0.679914	0.499753	-0.293893	
0.0525	-0.69282	0.519615	-0.353553	
0.0526	-0.705043	0.537427	-0.404508	
0.0527	-0.716569	0.553118	-0.445503	
0.0528	-0.727389	0.566626	-0.475528	
0.0529	-0.737491	0.577898	-0.493844	
0.053	-0.746864	0.586889	-0.5	
0.0531	-0.755501	0.593563	-0.493844	
0.0532	-0.763392	0.597896	-0.475528	
0.0533	-0.77053	0.599868	-0.445503	
0.0534	-0.776907	0.599474	-0.404508	
0.0535	-0.782518	0.596713	-0.353553	
0.0536	-0.787356	0.591598	-0.293893	
0.0537	-0.791418	0.584147	-0.226995	
0.0538	-0.794698	0.574392	-0.154508	
0.0539	-0.797194	0.562369	-0.0782172	
0.054	-0.798904	0.548127	-8.81993e-15	
0.0541	-0.799825	0.531722	0.0782172	
0.0542	-0.799956	0.513219	0.154508	
0.0543	-0.799298	0.49269	0.226995	
0.0544	-0.797852	0.470216	0.293893	
